-0.3519268603170932,-0.4757551209350769,-0.3109593797014237,-0.46209929406318706,0.767850943177873,-0.6942483508853142,0.767850943177873,-0.6942483508853142,0.767850943177873,-0.6669366971415346,0.7405392894340933,-0.5303784284226363,0.6859159819465339,-0.3938201597037379,1.0,0.6440226825598891,1.0,0.6440226825598891,1.0,0.6440226825598891,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791,1.0,0.6576785094317791	1,0,0,0,0
-1.0,0.11954323777804211,-1.0,0.17663851552277865,-1.0,0.5192101819911978,-0.9714523611276318,0.761865112406328,-0.9286309028190793,0.9046033067681694,-0.9286309028190793,0.9046033067681694,-0.9286309028190793,0.9046033067681694,0.09908409658617813,0.5049363625550137,0.2560961103842036,0.5049363625550137,0.4844772213631497,0.4763887236826454,0.4844772213631497,0.4763887236826454,0.4844772213631497,0.4763887236826454,0.6557630545973593,0.4192934459379089,0.6557630545973593,0.4192934459379089,0.6557630545973593,0.4192934459379089,0.6557630545973593,0.4192934459379089,0.6843106934697275,0.40501962650172474,0.6843106934697275,0.40501962650172474,0.6843106934697275,0.40501962650172474,0.6843106934697275,0.40501962650172474	0,1,0,0,0
-0.45713948826789275,-0.5458082773257871,-0.45713948826789275,-0.5458082773257871,-0.45713948826789275,-0.5458082773257871,-0.45713948826789275,-0.5458082773257871,-0.45713948826789275,-0.5458082773257871,-0.36304681051762744,-0.39794835514679877,-0.0942105883740123,-0.18287937743190666,-0.08076877726683156,0.19349133356915454,-0.0673269661596508,0.3144676335337814,-0.05388515505247004,0.5295366112486735,-0.05388515505247004,0.7311637778563849,-0.05388515505247004,0.7311637778563849,-0.0673269661596508,0.7714892111779271,-0.08076877726683156,0.8118146444994694,-0.10765239948119307,0.8790237000353731,-0.10765239948119307,0.8790237000353731,-0.1345360216955546,0.9327909444640962,-0.1345360216955546,0.9327909444640962,-0.1345360216955546,0.9327909444640962,-0.1345360216955546,0.9327909444640962	0,0,1,0,0
0.3175539083557952,-0.9780997304582211,0.3175539083557952,-0.9780997304582211,0.36135444743935313,-1.0,0.36135444743935313,-1.0,0.5365566037735849,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.7227088948787063,-1.0,0.15330188679245285,0.5111185983827495,0.15330188679245285,0.631570080862534,0.15330188679245285,0.7520215633423183,0.15330188679245285,0.7520215633423183,0.15330188679245285,0.7520215633423183,0.15330188679245285,0.7520215633423183,0.15330188679245285,0.7520215633423183,0.15330188679245285,0.7520215633423183	0,0,0,1,0
-0.1697449428320136,-0.9746408677807092,-0.12796833773087027,-0.9746408677807092,0.19231896804456203,-0.9746408677807092,0.4847552037525654,-0.9746408677807092,0.5683084139548521,-0.9746408677807092,0.47082966871885096,-0.1808853708589857,1.0,0.5850190559953089,1.0,0.5850190559953089,1.0,0.5850190559953089,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378,1.0,0.6128701260627378	0,0,0,0,1
0.8728190338860852,-1.0,0.8728190338860852,-1.0,0.8728190338860852,-1.0,0.8728190338860852,-1.0,0.8728190338860852,-1.0,0.838644556596972,-0.8633020908435471,0.7930785868781545,-0.7835616438356164,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946,0.895602018745494,0.24167267483777946	1,0,0,0,0
-0.6321984026902056,0.0273224043715847,-0.6321984026902056,0.2786885245901639,-0.6212694409415717,0.453551912568306,-0.5666246321984023,0.7704918032786885,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,-0.4901218999579651,1.0,0.3951240016813791,0.3224043715846995,0.3951240016813791,0.3224043715846995,0.3951240016813791,0.3224043715846995,0.3951240016813791,0.3224043715846995	0,1,0,0,0
-0.42062689585439833,-0.6305611729019213,-0.42062689585439833,-0.6305611729019213,-0.42062689585439833,-0.6305611729019213,-0.42062689585439833,-0.6305611729019213,-0.42062689585439833,-0.6305611729019213,-0.3225480283114256,-0.3363245702730031,0.03298786653185046,-0.17694641051567248,0.03298786653185046,-0.17694641051567248,0.11880687563195158,-0.250505561172902,-0.2122093023255813,0.6199443882709808,-0.2122093023255813,0.7057633973710818,-0.2244691607684529,0.7670626895854399,-0.2367290192113245,0.8161021233569262,-0.2367290192113245,0.8161021233569262,-0.2367290192113245,0.8161021233569262,-0.2367290192113245,0.8161021233569262,-0.2367290192113245,0.8161021233569262,-0.2367290192113245,0.8161021233569262,-0.27350859453993925,0.8774014155712841,-0.27350859453993925,0.8774014155712841	0,0,1,0,0
0.09386858398242454,-0.9691431995206711,0.12472538446175348,-0.9897143998402238,0.12472538446175348,-0.9897143998402238,0.12472538446175348,-0.9897143998402238,0.15558218494108242,-1.0,0.2892949870181745,-1.0,0.38186538845616136,-0.9794287996804474,0.38186538845616136,-0.9794287996804474,0.38186538845616136,-0.9794287996804474,0.38186538845616136,-0.9794287996804474,0.1350109846215298,0.038845616137407855,0.1350109846215298,0.038845616137407855,0.19672458558018768,0.5428400239664474,0.20701018573996402,0.6251248252446578,0.20701018573996402,0.6251248252446578,0.20701018573996402,0.7074096265228684,0.20701018573996402,0.7074096265228684,0.20701018573996402,0.7074096265228684,0.20701018573996402,0.7074096265228684,0.20701018573996402,0.7074096265228684	0,0,0,1,0
0.11819532621910014,-0.8288531676347428,0.23490476833716042,-0.8288531676347428,0.46832365257328096,-0.8288531676347428,0.7017425368094016,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,1.0,-0.8288531676347428,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276,0.3645819262461163,0.7272727272727276	0,0,0,0,1
